#"ID_REF"	"GSM1599181"	"GSM1599182"	"GSM1599183"	"GSM1599187"	"GSM1599188"	"GSM1599189"
#CLASS	Healthy	Healthy	Healthy	TB	TB	TB
"ILMN_1652297"	5.0208335	6.8541665	4.7708335	7.6041665	9.354167	8.5625
"ILMN_1652300"	0.35416666	-0.0625	-3.1041667	0.35416666	16.979166	-2.0625
"ILMN_1652306"	13.0625	32.5625	14.4375	8.9375	11.1875	11.3125
"ILMN_1652309"	18.604166	15.520833	11.729167	10.1875	8.8125	11.854167
"ILMN_1652313"	4.9375	6.7708335	1.1458334	8.395833	7.5625	13.895833
"ILMN_1652314"	2.8125	2.8541667	6.4791665	-0.7708333	-2.7708333	-7.1041665
"ILMN_1652319"	13.645833	3.2291667	23.1875	6.1875	13.1875	4.3125
"ILMN_1652331"	20.979166	19.604166	27.770834	19.604166	15.729167	15.270833
"ILMN_1652333"	248.8125	218.39583	181.8125	240.8125	205.3125	218.85417
"ILMN_1652342"	-0.3125	8.0625	-5.2708335	11.729167	-6.8125	19.520834
"ILMN_1652343"	2.9375	-4.6041665	-2.1875	-2.1875	-1.6458334	3.7708333
"ILMN_1652348"	-5.6041665	20.9375	-0.8125	8.0625	7.2291665	4.6458335
"ILMN_1652357"	94.1875	146.6875	70.3125	108.0625	117.5625	119.229164
"ILMN_1652365"	-10.604167	1.1875	-9.979167	0.104166664	-3.7708333	-6.3541665
"ILMN_1652366"	3.7708333	-2.1875	3.7708333	-1.3958334	-0.7708333	1.8125
"ILMN_1652368"	10.729167	-3.6875	-6.8541665	4.1041665	-6.7291665	9.229167
"ILMN_1652369"	7.4791665	16.895834	-4.3541665	9.8125	5.0208335	7.6458335
"ILMN_1652371"	-5.6875	-7.1458335	-1.6458334	-8.9375	-3.3958333	-9.0625
"ILMN_1652376"	-8.520833	-10.729167	-11.645833	-10.979167	-2.7291667	-11.229167
"ILMN_1652378"	5.6041665	8.8125	0.14583333	3.1041667	4.7291665	2.0208333
"ILMN_1652379"	149.77083	319.89584	152.3125	245.52083	355.72916	336.3125
